Report_ID,Department,Doc_Type,Date,Program,Key_Detail
RPT_001,Fort Smith Police Department,1033 MRAP Training Proposal,2015-01-19,LESO 1033 / CLEET,5-hour training; 16 trainees; MRAP Vehicle Operations
RPT_002,Hot Springs Police Department,1033 MRAP Training Proposal,2015-05-05,LESO 1033 / SWAT,8-hour training; MRAP Vehicle Operations; Hot Springs Airport
RPT_003,Jacksonville AR Police Department,1033 MRAP Training Proposal,2015-01-14,LESO 1033 / CLEET,8-hour training; 8 trainees; MRAP Vehicle Operations
RPT_004,Jefferson County Sheriff's Office,Standard Operating Procedure (SOP),2015-01-13,LESO 1033,MRAP SOP; high-risk operations; natural disaster response
RPT_005,Lonoke County Sheriff's Office,1033 MRAP Training Proposal,2015-12-01,LESO 1033 / CLEST,4-hour training; 5-10 trainees; MRAP Vehicle Operations
